,name,rating,address,phone
0,Muthu Driving School,4.6,"Bheemana Complex, # 90, 1st Floor, Ejipura Main Rd, Ejipura, Bengaluru, Karnataka 560047",098459 45460
1,Karnataka Driving School,4.1,"Shop No.2,51/A, Kata No.863, Byrappa Circle,Jambusavari Dinne, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560078",095904 03737
2,Sumukha Driving School,5.0,"XJ68+9QP, Jayaraj Nagar, Neelasandra, Bengaluru, Karnataka 560047",nan
3,Edwins Art Of Driving School - Bangalore,4.5,"Ground Floor, Dastagir Buiilding Opp.APT Bike Point, 3rd Main, 2171, 9th C Cross Road, Ramaiah Layout, Kammanahalli, Bengaluru, Karnataka 560084",099200 91080
4,NEW FORUM MOTOR DRIVING SCHOOL,5.0,"WJP5+P8Q, Chikku Lakshmaiah Layout, Adugodi, Bengaluru, Karnataka 560029",074114 93394
5,SAIRAM MOTOR DRIVING SCHOOL,4.7,"#20th Main, Maruthi Nagar Main Road, BTM 1St Stage, Bangalore near gangorhri circle , above Patel agency, opp. iconic fitnezz, Cashier Layout, 1st Stage, BTM Layout, Bengaluru, Karnataka 560029",090713 51763
6,Sri Lekana Motor Driving School,4.2,"142, 1st Floor, HAL 3rd Stage,, 80 Feet Road, Kodihalli, Bengaluru, Karnataka 560008",087629 14572
7,Global Driving School (since 2013),4.9,"Ragi Gudda Temple, 153, 26th Main Rd, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",097400 91111
8,Global Drives Car,4.9,"#8/1,14th G Street, Jogupalya Rd, Halasuru, Karnataka 560008",096113 48458
9,"Maruti Driving School (Surakshaa Car Care Pvt. Ltd., Bengaluru, Koramangala)",4.8,"BDA Complex, # 9, 4th Block, 100 Feet Road, Next to, Koramangala, Bengaluru, Karnataka 560034",088844 19021
10,"Maruti Suzuki Driving School (Pratham Motors, Bengaluru, Indira Nagar)",4.8,"843 5th Main Near BDA Complex Opp to Garden City Admin Office, Link Rd 4, next to Ibaco, Indira Nagar 1st Stage, Indiranagar, Bengaluru, Karnataka 560038",076764 77721
11,NEW SANTRO MOTOR DRIVING SCHOOL,4.5,"4th b, Block 90, 16th A Main Rd, KHB Block Koramangala, Koramangala 4-B Block, Koramangala, Bengaluru, Karnataka 560034",099860 71555
12,Phantom Motor Driving School,4.7,"#16, BTM layout 1st Stage, 1st Main, 12th Cross Rd, near Maruti Nagar, Bengaluru, Karnataka 560068",098457 32609
13,NEW SANTRO MOTOR DRIVING SCHOOL,4.6,"27/4, Serpentine St, Richmond Town, Bengaluru, Karnataka 560025",098869 19482
14,NEW SANTRO DRIVING SCHOOL old airport road,4.3,"Old Airport Road, Shop No : 24, 5th Cross Road, Old Airport Road, K R Garden, Murugeshpalya, Bengaluru, Karnataka 560017",099860 71555
15,Best Bangalore Driving School,4.7,"Sai Kamala Complex, ITPL Main Road AECS Layout, Marathahalli, above Madhuloka Wine Shop, Kundalahalli, Brookefield, Bengaluru, Karnataka 560037",081479 88105
16,Suma Motor Driving School,3.9,"#767, 2nd Main Rd, Near Shiva Theater Complex, Angalamma, Mallappa Reddy Layout, Koramangala 8th Block, Koramangala, Bengaluru, Karnataka 560095",094495 89721
17,"N A S Motor Driving School Koramangala, ST BED, HSR (RTO CONSULTANCY)",4.9,"BDA Complex, Shop No 42 Koramangala, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034",099450 04077
18,RV Driving School,4.8,"275 1st Main 1st Cross Hennur 5th Block, Kalyan Nagar, HBR Layout, Bengaluru, Karnataka 560043",089299 59818
19,KMS Driving School,4.1,"210, 1st Main Rd, 7th Block, Koramangala, Bengaluru, Karnataka 560030",098444 66697
20,Sri Sai Krupa Motor Driving school,4.9,"386 7th Cross, 7th Main Rd, opp. Disney Bekary, next to Pai Mobiles shop, Mico Layout, BTM 2nd Stage, Bengaluru, Karnataka 560076",084969 28362
21,Philips Motor Driving Training School,4.3,"BDA Complex, #15/48, Indiranagar, Bengaluru, Karnataka 560038",094498 36145
22,"Maruti Suzuki Driving School(Kalyani Motors, Bangalore, Lalbagh Road)",4.9,"NO 29 NEAR POORNIMA THEATER SIGNAL, Lal Bagh Main Rd, Bengaluru, Karnataka 560027",095909 90011
23,MPS MOTOR Driving School,4.9,"Shop No, #21, Adi Kabir Ashram Main Rd, Thimaiah Garden, RT Nagar, Bengaluru, Karnataka 560032",097404 33557
24,Dhanush (M.D.T.S.) Motor Driving Training School only one in jakkasandra koramangala,4.8,"49/17, 6TH cross Jakkasandra extension, 1st Block Koramangala, Koramangala, Bengaluru, Karnataka 560034",099004 41967
25,Maruti Suzuki Driving School,4.6,"528, 16th Main Road, 4th A Cross, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034",nan
26,Maruti Suzuki Driving School HSR Layout,4.6,"Maruti Suzuki Arena 90/85/02, VRR Royal Commercial Complex, 21st A Main Road, 17th Cross Rd, 1st Sector, HSR Layout, Bengaluru, Karnataka 560102",088840 17222
27,BALAJI MOTOR DRIVING SCHOOL,4.8,"16/2, Sadashiva Mudaliar Rd, Halasuru, Dodakattappa, Bengaluru, Karnataka 560008",098451 97001
28,New India Motor Driving School,4.9,"4/1, 2nd Main Road, 1st Block, 1st Block Main Road, Deve gowda nagar, RT Nagar, Bengaluru, Karnataka 560032",099029 33306
29,Appu Driving School,3.9,"18,2nd floor, Jeevan Bima Nagar Main Rd, next to NAL Road, LIC Colony, New Tippasandra, Bengaluru, Karnataka 560075",nan
30,Hundai Driving School,4.7,"No 10/1 5th cross, Lakshmi Rd, near centropolise, Shanti Nagar, Bengaluru, Karnataka 560027",098864 69498
31,Sharp Drives,4.9,"No 30, Kerekodi Main Rd, D'souza Nagar, Banashankari 3rd Stage, Hosakerehalli, Bengaluru, Karnataka 560085",nan
32,Usman Motor Driving School,4.8,"928, 4th cross, Near St Mary Church, R.K. Hegde Nagar, Bengaluru, Karnataka 560077",098801 28786
33,"Maruti Driving School ( Mandovi Motors, Bangalore, Jp Nagar)",4.7,"Shop No, 70, Bannerghatta Main Rd, Sarakki Industrial Layout, Dollar Layout, 3rd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",nan
34,Riya driving school,5.0,"205, 4th D Cross Rd, B Channasandra, Kasturi Nagar, Bengaluru, Karnataka 560043",074064 33222
35,AM Driving School,4.7,"21, Maruthi Nagar Main Rd, Zuzuvadi, Maruti Nagar, 1st Stage, BTM Layout, Bengaluru, Karnataka 560029",nan
36,AMS Driving School,5.0,"5/4, Ground Floor, Dr Omer Sherif Rd, Basavanagudi, Bengaluru, Karnataka 560004",099168 28590
37,Brilliant Driving School,4.7,"#184/A Shop No. 3, 22nd Cross Rd, opp. HSR Club, 3rd Sector, HSR Layout, Bengaluru, Karnataka 560102",097402 32339
38,Shankar Driving School,4.7,"R.K Colony, Manjunath Colony, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",098450 37319
39,YASH DRIVING SCHOOL,4.8,"PROFESSIONAL COURIER BUILDING, 1st floor, 10TH CROSS, Ramamurthi Nagar Main Rd, Bengaluru, Karnataka 560016",090082 38888
40,Maruthi Driving School,4.6,"15, 12th Main Rd, opposite R T O, 2nd Block, 2nd Stage, Rajajinagar, Bengaluru, Karnataka 560010",091415 19999
41,Modern Motor Driving Training School,4.7,"3, Ground Floor, Crescent Complex, near Majid, Nagavarapalya, C V Raman Nagar, Bengaluru, Karnataka 560093",094480 14822
42,Sharp Drives,4.9,"No 56/A, Ramamurthi Nagar Main Rd, opp. New Baldwin International School, Lakshmamma Layout, Dodda Banaswadi, Bengaluru, Karnataka 560043",nan
43,Anand Driving School,4.7,"NO 130, 50 Feet Main Rd, next to Kumaraswamy Temple Road, Sunkenahalli, Hanumanthnagar, Banashankari 1st Stage, ARCH, Bengaluru, Karnataka 560019",099012 30394
44,Banjara Driving School,5.0,"No 701/1020 1st Floor 1st A Cross, New Thippasandra Main Rd, HAL 3rd Stage, Bengaluru, Karnataka 560075",nan
45,SLR Driving School,4.9,"Babu Reddy Compound, Begur Rd, Hongasandra, Bengaluru, Karnataka 560068",097319 50831
46,Byrava Motor Training School,4.1,"HAL Old Airport Rd, Konena Agrahara, Jeevan Bima Nagar, Bengaluru, Karnataka 560017",099729 35697
47,Nethaji Motor Driving School in Bangalore | Best Driving Instructors near me,4.9,"Triveni Main Rd, Kamla Nehru. Extension, Yeswanthpur, Bengaluru, Karnataka 560022",094485 62463
48,Bhavani Motor Driving School,5.0,"No. 5, 1st Cross, Pemmaiah Block, opposite to Ashwini Clinic, J.C.Nagar, Bengaluru, Karnataka 560006",098455 30021
49,Shrusti Motor Driving School,4.6,"#10/1, Devarchikkanahalli Main Road, Opp. Surani Sawmill, Near Golden Park Apartment, Kodichikknahalli, Bengaluru, Karnataka 560076",096113 33373
50,Grace Motor Driving School,4.2,"#4, 1st Floor, Nanjudeshwara Nilaya, 7th A Cross Road, Kaggadasapura Main Rd, near Balaji Selection, C.V. Raman Nagar, Bengaluru, Karnataka 560093",098804 26760
51,Deccan Driving School,4.0,"58/3, Hosur Main Road, Opposite Total Commercial Complex, Madiwala, Bengaluru, Karnataka 560068",nan
52,Standard driving school,4.9,"#20 20th Main Road Madiwala Main Road Btm 1st Stage Above Jodhpur Sweets, opposite to MR Bakery, Bengaluru, Karnataka 560068",nan
53,Sri Jai Maruthi Driving School,4.4,"Shop no 1 Aswathnagara bus stop sanjayanagara main road, near 80 feet Road, Bengaluru, Karnataka 560094",096325 77889
54,Hitech Driving School,4.3,"VR chamber 2nd floor Kadubeesanahalli Bridge LM Above Sangeetha mobile show room, beside JP Morgan company, Bengaluru, Karnataka 560103",097423 33222
55,MG Motor Driving School,4.9,"NEXT KANTHI SWEETS, 111, Thambu Chetty Palya Main Rd, opp. NEW CITY KITCHEN HOTEL, Anandapura, Battarahalli, Bengaluru, Karnataka 560036",097422 56711
56,Srinivasa Motor Driving Training School,4.5,"Reddy Building, Srinivasa, Marathahalli Main Rd, near Old Bus Stop, Marathahalli, Bengaluru, Karnataka 560037",094814 82060
57,A2Z Motor Driving School,4.8,"#56/10, Gurumurthy Complex, 1st floor, 24th Main Rd, HSR Layout, Bengaluru, Karnataka 560102",091419 35677
