,name,rating,address,phone
0,Yadav Motor Driving College | Best Car Driving School | Best Motor Training School | Best Motor Training College in Delhi,4.7,"61 A, kamla nagar near Shakti Nagar Chowk, opp. Gopal Sweets, Kamla Nagar, Delhi, 110007",099909 16544
1,New Nanda Motor Driving School,4.5,"58 A/1, GROUND FLOOR, KALU SARAI, Block 1, Sarvapriya Vihar, NEAR HDFC BANK ATM, New Delhi, Delhi 110017",098997 74490
2,BALAJI MOTOR DRIVING TRAINING SCHOOL (GOVERNMENT APPROVED BY TRANSPORT DEPARTMENT DELHI),4.7,"138-A/2, Taimoor Nagar, Maharani Bagh Main Road, CV Raman Marg, near New Friends Colony, New Delhi, Delhi 110065",098181 66628
3,N K Motor Driving Training School,4.9,"Block E - 311-312, Gandhi vihar, Near E block Gurudwara, Delhi, New Delhi, Delhi 110009",084474 19076
4,Motor Driving Training School,4.6,"Kali Nagar, Mahavir Enclave I, Mahavir Enclave Part 1, Mahavir Enclave, New Delhi, Delhi 110045",098711 97260
5,Satija motor driving school,4.4,"Shop no 2, Market Number 1, Sector 7, Rama Krishna Puram, Delhi, 110022",098711 62345
6,Verma motor driving school,4.9,"Near sai Mandir, Lodhi Rd, Lodi Colony, New Delhi, Delhi 110003",099113 11353
7,RAHI MOTOR DRIVING SCHOOL,4.9,"Alaknanda Market, Kalkaji, New Delhi, Delhi 110019",099105 77019
8,Hello Yadav Motor Driving School,5.0,"E162, near chacha di hatti, Block G, Kamla Nagar, Delhi, 110007",070118 71891
9,The National Motor Driving School,4.9,"Wz 592a, Roza Boutique, near Bitto Tikki Wala, Rishi Nagar, Rani Bagh, Delhi, 110034",099996 18883
10,Dhiman Driving School,4.6,"Main road Govind puri Kalka ji extention, near petrol pump, New Delhi, Delhi 110019",098736 09040
11,Satnam Motor Driving / Training School,4.8,"F-373 Gali, Street Number 86, Mahavir Enclave Part 3, New Delhi, Delhi 110059",098919 20030
12,Dwarka Driving School,4.8,"DDA Flats, Colony Rd, Main Shiv Market, Pocket 1, Sector 10 Dwarka, Dwarka, New Delhi, Delhi 110075",096434 79915
13,Sameer Motor Driving School,4.9,"P-5, near Khane Market, Block Q, West Patel Nagar, Patel Nagar, New Delhi, Delhi 110008",093125 63788
14,Satija Motors Driving School,4.7,"Shop No. 2, Kashmiri Market, Vivekanand Marg, near Hyatt hotel, Sector 1, Rama Krishna Puram, New Delhi, Delhi 110022",092108 00803
15,Hello yadav motor driving school,4.9,"B Block, gali no:2, 100 foota road Near Shastri park, Nathupura mor, Burari, New Delhi, Delhi 110084",096251 06414
16,Texla Driving School Paharganj,4.8,"5524 GF Shora kothi pahara Ganj, below pahar Ganj, Delhi, 110055",nan
17,Shreya Motars Car Driving School,5.0,"H3MH+24C, Dada Dev Mandir Rd, Dev Kunj, Block NZ, Raj Nagar II Extension, Raj Nagar, New Delhi, Delhi 110077",088510 66016
18,TWO WHEELER DRIVING SCHOOL,4.8,"Khirki Extension, Panchsheel Extension, Malviya Nagar, New Delhi, Delhi 110017",087000 12117
19,Sakshi Motor Driving School,4.9,"E-141, Shri TN Kundra Marg, Block G, Kamla Nagar, Delhi, 110007",088008 87484
20,OBEROI MOTOR DRIVING TRAINING SCHOOL,4.9,"SHOP No. 6 & 7, DDA MARKET A - 2 BLOCK, Janakpuri, New Delhi, Delhi 110058",099111 05252
21,DK Driving School Pvt Ltd,4.5,"Shop No, Metro Station, 1, Street Number 1, near Karkardooma, Arya Nagar, Dayanand Vihar, Anand Vihar, Delhi, 110092",085100 90792
22,Sai Motor Driving School,4.8,"Gopinath Bazar Delhi Cantonment, Gopi Nath Bazar, Delhi Cantonment, New Delhi, Delhi 110010",088022 65880
23,PRM Car Driving School,5.0,"2030, 19, Govindpuri Extension, Kalkaji, New Delhi, Delhi 110019",099116 21213
24,𝙏𝙃𝙀 𝙎𝙄𝘿𝘿𝙃𝘼𝙍𝙏𝙃 𝘿𝙍𝙄𝙑𝙄𝙉𝙂 𝙎𝙆𝙊𝙊𝙇#𝙉𝘼𝙍𝙀𝙇𝘼 𝘿𝙀𝙇𝙃𝙄-40,5.0,"592, Budh Bazar Rd, Pocket 7, Sector A6, Narela, Delhi, 110040",099902 82823
25,TEXLA MOTOR DRIVING SCHOOL,4.3,"D-20, DDA MARKET, EAST OF KAILASH,, OPPOSITE SANT NAGAR, ORIENTAL BANK,, New Delhi, Delhi 110065",098189 65888
26,Shiv Shambhu car driving Trainer,4.8,"RZ-17, Block D, West Sagarpur, Dabri, New Delhi, Delhi 110046",nan
27,Institute of Driving and Traffic Research,4.5,"Ring Rd, adjoining ISBT, ISBT Sarai Kale Khan, Sarai Kale Khan, New Delhi, Delhi 110013",093184 92607
28,Swastik Motor Driving School,4.9,"D-184, Sector 1 Dwarka, Dwarka, New Delhi, Delhi 110077",090134 98453
29,Yash Sharma Motor Driving School,4.8,"H.o D- 21, East Arjun Nagar opppsite employment off Vishwas Nagar Shahdara Delhi, near KARKARDOOMA COURT, New Delhi, Delhi 110032",070421 08897
30,Sanskar Motor Driving School (Pradeep),4.9,"Pocket 2, Sector 10 Dwarka, Dwarka, New Delhi, Delhi 110075",nan
31,Hariom Motor Driving Training School,4.9,"Wazir Pur, JJ Colony Wazirpur, Ashok Vihar, Delhi, 110052",091288 79422
32,Bansal Motor Driving School,4.9,"Opp: Mandir, 235, Dwarka Rd, Ram Chowk, Palam, New Delhi, Delhi 110045",096540 05411
33,PRIME MOTOR DRIVING SCHOOL MALVIYA NAGAR MAIN MARKET,4.4,"Block P, Savitri Nagar, Shivalik Colony, Malviya Nagar, New Delhi, Delhi 110017",nan
34,RAJ CAR MOTOR TRAINING SCHOOL,4.8,"South Extension I, Zafar Nagar, Kotla Mubarakpur, New Delhi, Delhi 110049",072106 35339
35,Amresh Car Driving Classes,4.8,"Shop number 2, Peshwa Rd, Peshwa Road, Pocket A, Gole Market, New Delhi, Delhi 110001",nan
36,Bansal Driving School,5.0,"Gopinath Bazar Delhi Cantonment, Khyber Lines, Delhi Cantonment, New Delhi, Delhi 110010",096540 05411
37,Hunny Motor Driving Training School,4.8,"Shop No.160, Block BF, Shalimar Bagh, Delhi, 110088 G12 GU block, Pitam Pura vardman market delhi 110034, Delhi, 110088",099998 94451
38,ZOYA MOTOR TRAINING SCHOOL,4.9,"U-38A, School Block, Block U, Shakarpur, New Delhi, Delhi 110092",087574 79741
39,Dk Driving School,4.4,"J 379 Jahangirpuri Nr SBI Bank Delhi NCR, Delhi 110033",085100 90782
40,Malik Motor Driving School,4.5,"plot no.148 pkt, 5, near aman vihar police station, Sector 22, Rohini, Delhi 110086",nan
41,Priya Motor Driving School,4.2,"26, Lodhi Rd, Palika Niwas Colony, Lodi Colony, New Delhi, Delhi 110003",095551 99155
42,Star Balaji Motor Driving School,4.6,"1590, Arya Samaj Gali, Sita Ram Bazar, Chandni Chowk, Delhi, 110006",095603 48878
43,Car Driving School,4.2,"Shop no.3 saheed budh ram marg Hindon apt, Vasundhara Enclave, New Delhi, Delhi 110096",098107 14641
44,Vishnu Motor Driving School Rohini,4.8,"Flat, 184, Pocket 2, MCD Slum Colony, Rohini, Delhi, 110086",nan
45,Angel Motor Driving School,4.9,"Sec.5, Sector 5, Rama Krishna Puram, New Delhi, Delhi 110022",nan
46,Deepali Driving school- driving school in Dwarka,4.8,"275 Rose wood Apartment, Sector 13, Dwarka, Delhi, 110075",099116 28026
47,Suraksha Motor Training School,4.2,"WZ B 48-49, Vishnu Garden, Delhi 110018",087500 95555
48,Toyota Driving School,4.9,"Chincholi, 504, New Link Rd, opp. Goregaon sports club, Malad West, Mumbai, Maharashtra 400064",077100 33877
49,Adarsh Tiwari Motors (Car Driving),4.6,"Panchkuian Marg, Block 85, DIZ Area, Gole Market, New Delhi, Delhi 110001",096541 45658
50,Ajay Driving Trainer,4.9,"No 33 Avatar Park, Nirankari Colony, Delhi, 110009",nan
51,Katyani motor driving school,5.0,"no. 1, Bala sahib gurudwara, 312, Sunlight Colony, New Delhi, Delhi 110014",099903 72111
52,DK DRIVING SCHOOL PVT.LTD,4.6,"metro station, J-8, Block-J, Bander, Matke Wali Gali, Ramesh Nagar, Delhi 110015",087007 65805
53,Khan Motor Driving Training School,4.6,"B & 971, Block A, Jawahar Camp, Kirti Nagar, New Delhi, Delhi 110015",098107 85593
54,Sonu Sharma Motor Driving School-(Delhi),4.5,"289/1, near raja park, Shakur Basti Railway Colony, Rani Bagh, Pitam Pura, Delhi, 110034",nan
