,name,rating,address,phone
0,Atre driving school,5.0,"Prabhat Road kanchan lane near Hotel wadeshwar.opp Kanchan Gauri society &, Kothrud opp.Ghar sansar shop c/o MLA Mokate office.chavan theatre, Maharashtra 411004",070588 70588
1,Sunshine Motor Driving School,4.9,"Dhayarkar Wada, SN. 405A, Shop no 1, near Saibaba mandir, Somwar Peth, Pune, Maharashtra 411011",085529 29660
2,New Om Car Driving School,5.0,"Shop No 6, 55 Sukhniwas Mangalwar Peth, 15 August Chowk, Railway Station Rd, Pune, Maharashtra 411011",095611 47519
3,New Akshay Motor Driving School,4.7,"Shop No 02, 524, Daruwala Pool Rd, opp. Yash Medical, Rasta Peth, Pune, Maharashtra 411011",nan
4,"Maruti Driving School, Ace Kudale Car Pvt.Ltd.",4.9,"School, 132, Dandekar Pool, Vijaya Laxman Bldg, next to Sane Guruji, Pune, Maharashtra 411030",077220 88882
5,Shri Saisiddhi Motor Driving School,4.9,"G Building Shop no 2 Aloknagri 1305, Kasba Peth, Pune, Maharashtra 411011",090110 76445
6,S K Lady's 2 weelar Driving school,4.8,"186, Porwal Metallica, Rasta Peth, Pune, Maharashtra 411011",098606 09131
7,Shree Mahesh motor driving school,4.8,"shop no 1, Amrale building, Mhasoba chowk, opposite Rohan dairy, Dattawadi, Pune, Maharashtra 411030",090755 21234
8,Mudra Motor Driving School in Pune,5.0,"Chintamani Apartment, 722/AB/3, Lal Bahadur Shastri Rd, near unioun bank, Navi Peth, Narayan Peth, Pune, Maharashtra 411030",089835 35552
9,KESARI MOTOR DRIVING SCHOOL,5.0,"Shop No 12B, Media Park, Sr.No 66B/2, Bhagwan Tatyasaheb Kawade Rd, Ghorpadi, Pune, Maharashtra 411001",083908 08874
10,Avadhoot Motor Driving School,5.0,"159 RAMKUNJ KELKAR ROAD, 30, Narayan Peth, Pune, Maharashtra 411030",nan
11,Drive Concept Motor Driving Solution,4.9,"Sr. No. 123, Shivdarshan Society, Shop No. A-03, Opp. PVG Muktangan Highschool, 8, Shiv Darshan Rd, Parvati, Sahakar Nagar, Pune, Maharashtra 411009",077984 42299
12,Sai Motor Driving School,4.8,"1970 Rukmini Niwas, opposite होटल गिरिजा, Madiwale Colony, Sadashiv Peth, Pune, Maharashtra 411030",097667 78767
13,Maharashtra Motor Driving School,4.1,"Sahydri Bangla, Petrol Pump Shejari, Sus, Pune, Maharashtra 411021",098819 87537
14,Dr. Drive| Driving School| Motor Driving School| RTO Works| RTO Services| Two wheeler Traning,4.9,"Shop No-16, Shrushti Society, DP Rd, near Mahalaxmi Hall, Chintamani Paradise, Kothrud, Pune, Maharashtra 411038",088579 36161
15,Maulikrupa Motor Driving School,5.0,"SHOP NO 6, Reu Residency, near CHARCH AND AMBIKA GAS AGENCY, Rajyog Society, Warje, Pune, Maharashtra 411058",090118 55321
16,Vijaya Motor Driving School,4.8,"Off Paud Phata Rd, Pandurang Colony, Erandwane, Pune, Maharashtra 411004",097678 74242
17,NITIN MOTOR DRIVING SCHOOL,4.8,"Shop no.7 saarthi shilp society, behind eklavya college, Pune, Maharashtra 411038",098901 55663
18,ARJUN MOTOR DRIVING SCHOOL,4.6,"Shop no. 8, Mount Vert Arcade, Pashan - Sus Rd, near IDBI BANK, Pashan, Pune, Maharashtra 411021",082758 83227
19,Apte Motor School,4.7,"461/3,1st floor, TCG Square, Lokmanya Bal Gangadhar Tilak Rd, opp. Alka Talkies, पंतांचा गोट, Pantancha Gate, Sadashiv Peth, Pune, Maharashtra 411030",087675 52021
20,Galaxy Motor Driving School,4.9,"Shop no 1&2 Meghali Apts, Lane Number 2, Dahanukar Colony, Kothrud, Pune, Maharashtra 411038",098233 12394
21,Shri Ganraj Motor Driving School,4.6,"Shop No 5, Kent Exclusive, Vitthal Rao Shivarkar Rd, opp. Bank of Maharashtra, Parmar Nagar, Wanwadi, Pune, Maharashtra 411040",088888 84934
22,Modern Driving School,4.9,"Police Chowky, 2183, nr. Poolgate, New Modikhana, Camp, Pune, Maharashtra 411001",099605 55503
23,Rajnil Motor Training School,4.7,"Shop No-4, Gulab Vihar Bldg, Prosperity Society, Vitthal Mandir Rd, opp. Bank of India, Hingne Budrukh, Karve Nagar, Pune, Maharashtra 411052",098906 46382
24,Kartiki Motor Driving School,4.9,"Kanchangauri, b9, Rambaug Colony Rd, Shivtirthanagar, Akhil Shivtirth Nagar Colony, Kothrud, Pune, Maharashtra 411038",098221 87126
25,Bansal Motor Driving School,4.7,"Shop no. 10, Mahada Shopping Complex, Alandi Rd, near new rto, Phulenagar, Yerawada, Pune, Maharashtra 411016",098811 15187
26,SIDDHANT DRIVING SCHOOL,4.6,"Shop No-10, next to Bishops School, near Chitale Bandhu shop, Gera-77, Palace View Society, Kalyani Nagar, Pune, Maharashtra 411006",095615 96455
27,Misal Motor Driving School,5.0,"16A, Haji Kadirbhai Satarkar Marg, Sandesh Society, Burhanj Baug-B Colony, Market Yard, Gultekadi, Pune, Maharashtra 411037",nan
28,DEEP SAI MOTOR DRIVING SCHOOL,4.5,"Shop no C1 Ushakala society Model Colony Deep bunglow Chowk, Shivajinagar, Pune, Maharashtra 411016",078430 49199
29,GANRAJ MOTOR DRIVING SCHOOL,4.6,"N Main Rd, C1, A Ln, 18/A, Ragvilas Society, Koregaon Park, Pune, Maharashtra 411001",098600 75642
30,Venkatesha Prasanna Motor Driving School,4.7,"Shop No 14 Royal Arcade, Sr.No. 43, 152, Bhau Patil Rd, Bopodi, Pune, Maharashtra 411020",084461 11900
31,OM NARSINHA MOTOR DRIVING SCHOOL,5.0,"SHOP NO. 15 SURBHI COMPLEX, Yerawada, Pune, Maharashtra 411006",098223 89883
32,Jadhav Motor Training School,4.5,"Sacred Heart Town, 0PP MACDONALDS, next to Oriental BANK of Commerce, Wanowrie, Pune, Maharashtra 411040",092255 44333
33,Suyash Driving Academy,5.0,"Bhagyashree Building, Chapekar Rasta, Kadolkar Colony, Mukund Nagar, Pune, Maharashtra 411037",080070 01666
34,Mulik Motor Driving School,4.9,"Shop Number 3 Behind Alandi Road, 15, FISH MARKET, Vishrant Society, Vishrantwadi, Pune, Maharashtra 411015",086052 37007
35,New Shourya Motor Driving School,4.9,"Shop Number.1, Sai Sayali Apartment, near Sangam Chowk, Shastri Nagar, Kothrud, Pune, Maharashtra 411038",098227 67726
36,Message Motor Driving School,4.9,"Survey No. 34, Shop No. 5, Venkateshwara Homes, Nilgiri Road, Ambegaon, Opp Ganesh Super Market, Pune, Maharashtra 411046",098238 92111
37,Kale Motor,4.7,"721/21, Senadatt Police Chowky Shojari, Senadutta Peth, Navi Peth, Sadashiv Peth, Pune, Maharashtra 411030",075170 54797
38,Classic Motor Training School,4.4,"460, Centre Street (Bhopla chowk, behind Kohinoor Hotel, Camp, Pune, Maharashtra 411001",093711 61601
39,Surbhi Motor Driving School,4.8,"Gitanjali Apartment , Below Vintage 7, Nr Medipoint Hospital, New DP Rd, Aundh, Pune, Maharashtra 411007",089561 40977
40,Om Motor Driving School Pune,4.9,"Shop No 12A, Gera Landmark, opp. Kalyani Bunglow, near ICIC Bank & IRANI Cafe, Nilanjali Society, Kalyani Nagar, Pune, Maharashtra 411006",097663 73737
41,Virendra Motor Driving School,4.6,"Kumar Park D Wing, 10, Bibwewadi Kondhwa Rd, Market Yard, Gultekadi, Pune, Maharashtra 411037",098909 13491
42,Shree Swaraj Motor Driving School,4.9,"No 19/2, Shop No. 8, Sunshree Suntec, S, 20/1, NIBM Rd, Kondhwa, Pune, Maharashtra 411048",nan
43,Shriram motor driving school,5.0,"Smita Heights , Co-Operative Housing Society, Lane Number 4, Paud Road, Ramkrishna Paramhans Nagar, Kothrud, Pune, Maharashtra 411038",098223 73322
44,Samarth Motor Driving School,4.8,"Shop No 1, Avdhoot Heights, Chowk Opp.Santosh Hall, Sinhgad Rd, near bank of maharashtra, Anand Nagar, Pune, Maharashtra 411051",098500 21976
45,Yogiraj Driving School,5.0,"20/1 Punyainagar dhaneshwar colony prawara building, flat 5 k k market road, gate, Street No. 1, opp. K K market, Dhankawadi, Pune, Maharashtra 411043",099219 68525
46,KALESHWARI MOTOR DRIVING SCHOOL,5.0,"Yashashree Aptment . Flat no 104 sarve no 34/2 Road, 10 C, Vidyanagar, near morya uddyan, Tingre Nagar, Pune, Maharashtra 32",097659 66477
47,New Mauli motor Driving School,5.0,"Raghunandan Nivas, near Jadhav Haveli, Jadhav Nagar, Vadgaon BK, Pune, Maharashtra 411041",097630 71872
48,MyABC Motor Driving School,4.3,"Shop No. 4, Lane, Sinhgad Rd, opp. Brahma Hotel, Ganesh Complex, Manik Baug, Anand Nagar, Pune, Maharashtra 411051",099752 80995
